"Client","Analyte","Station_ID","Station_Description","SampleType","Result","MRL","Unit","Status","Sampled","DATUM","DECIMAL_LAT","DECIMAL_LONG","StatusIdentifier","Comment","HUC","Database","SD","Detect"
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",14.4,0,"°C","A",2013-09-18 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.01,0.01,"mg/L","A",2013-09-18 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",47,1,"MPN/100 ml","B",2013-01-09 08:00:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT1::B","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.2,0,"pH Units","A",2013-05-08 07:20:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Toxics Monitoring Program - Sediment","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",9.3,1,"mg/L","A",2013-08-05 09:36:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",13,0,"°C","A",2013-05-08 07:20:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",9.2,1,"mg/L","A",2013-07-17 07:15:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.2,0,"pH Units","A",2013-07-17 07:15:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",15,0,"°C","A",2013-07-17 07:15:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.01,0.01,"mg/L","A",2013-07-17 07:15:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Total Suspended Solids","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",1,1,"mg/L","A",2013-07-17 07:15:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.5,0,"pH Units","A",2013-01-09 08:00:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",9.1,0,"°C","A",2013-01-09 08:00:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.01,0.01,"mg/L","A",2013-05-08 07:20:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",10,1,"mg/L","A",2013-05-08 07:20:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.01,0.01,"mg/L","A",2015-05-06 07:13:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",22,1,"MPN/100 mL","B",2015-05-06 07:13:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT1::B","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.3,0,"pH Units","A",2013-03-13 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",11.2,1,"mg/L","A",2013-03-13 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.01,0.01,"mg/L","A",2013-03-13 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Total Suspended Solids","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",2,1,"mg/L","A",2013-03-13 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",11,1,"MPN/100 mL","B",2013-03-13 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT1::B","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",11.2,1,"mg/L","A",2013-01-09 08:00:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.02,0.01,"mg/L","A",2013-01-09 08:00:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Total Suspended Solids","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",6,1,"mg/L","B",2013-01-09 08:00:00,"Assumed NAD83",42.007139,-124.186139,NA,"BK1::B","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",8.4,-10,"°C","A",2015-01-14 07:31:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.4,0.1,"pH Units","A",2015-01-14 07:31:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",11.6,1,"mg/L","A",2015-03-04 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.1,0.1,"pH Units","A",2015-03-04 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.2,-10,"°C","A",2015-03-04 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",36,1,"MPN/100 mL","A",2014-09-10 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT-OK::A","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",8.3,1,"mg/L","A",2014-09-10 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.1,0.1,"pH Units","A",2014-09-10 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",15.3,-10,"°C","A",2014-09-10 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.01,0.01,"mg/L","A",2014-09-10 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Total Suspended Solids","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",1,1,"mg/L","A",2014-09-10 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",9.2,0,"°C","A",2013-03-13 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.01,0.01,"mg/L","A",2015-03-04 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",3,1,"MPN/100 mL","A",2015-03-04 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT-OK::A","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",119,1,"MPN/100 mL","A",2013-09-18 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT-OK::A","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7,0.1,"pH Units","A",2015-07-15 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",15.8,-10,"°C","A",2014-07-16 07:00:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.5,1,"pH Units","B",2013-03-13 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT1::B","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",5,1,"MPN/100 mL","A",2014-11-19 07:23:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT-OK::A","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",10.7,1,"mg/L","A",2014-11-19 07:23:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.3,0.1,"pH Units","A",2014-11-19 07:23:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",10.2,-10,"°C","A",2014-11-19 07:23:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.01,0.01,"mg/L","A",2014-11-19 07:23:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Total Suspended Solids","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",1,1,"mg/L","A",2014-11-19 07:23:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.1,0.1,"pH Units","A",2014-07-16 07:00:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",46,1,"MPN/100 mL","A",2014-07-16 07:00:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT-OK::A","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",8.7,1,"mg/L","A",2014-07-16 07:00:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.01,0.01,"mg/L","A",2014-07-16 07:00:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.5,0.1,"pH Units","A",2013-11-19 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",10.2,-10,"°C","A",2013-11-19 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",17.1,-10,"°C","A",2015-07-15 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Toxics Monitoring Program - Sediment","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7,0.1,"pH Units","A",2013-08-05 09:36:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",11.4,1,"mg/L","A",2015-01-14 07:31:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Total Suspended Solids","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",9,1,"mg/L","A",2015-01-14 07:31:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",6,1,"MPN/100 mL","A",2015-01-14 07:31:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT-OK::A","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.3,0.1,"pH Units","A",2014-05-21 07:13:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",12.1,-10,"°C","A",2014-05-21 07:13:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",19,1,"MPN/100 mL","A",2014-05-21 07:13:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT-OK::A","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",10.4,1,"mg/L","A",2014-05-21 07:13:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.01,0.01,"mg/L","A",2014-05-21 07:13:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Total Suspended Solids","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",1,1,"mg/L","A",2014-05-21 07:13:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",16,1,"MPN/100 mL","A",2013-07-17 07:15:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT-OK::A","17100312","Element","Element 10537",1
"Toxics Monitoring Program - Sediment","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",15.1,0,"°C","A",2013-08-05 09:36:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",2,1,"MPN/100 mL","A",2014-03-12 07:43:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT-OK::A","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",11.4,1,"mg/L","A",2014-03-12 07:43:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.3,0.1,"pH Units","A",2014-03-12 07:43:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",9.1,-10,"°C","A",2014-03-12 07:43:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Total Suspended Solids","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",11,1,"mg/L","A",2014-03-12 07:43:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.03,0.01,"mg/L","A",2014-03-12 07:43:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",6,1,"MPN/100 mL","A",2014-01-15 07:41:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT-OK::A","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.4,0.1,"pH Units","A",2014-01-15 07:41:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",6.6,-10,"°C","A",2014-01-15 07:41:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",11.9,1,"mg/L","A",2014-01-15 07:41:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.01,0.01,"mg/L","A",2014-01-15 07:41:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.3,0.1,"pH Units","A",2016-11-16 07:19:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.02,0.01,"mg/L","A",2015-01-14 07:31:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",10.4,-10,"°C","A",2016-11-16 07:19:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",10.4,1,"mg/L","A",2015-05-06 07:13:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.2,0.1,"pH Units","A",2015-05-06 07:13:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",11.4,-10,"°C","A",2015-05-06 07:13:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",8,1,"mg/L","A",2015-09-16 07:23:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.4,0.1,"pH Units","A",2016-03-09 07:21:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.2,0.1,"pH Units","A",2015-09-16 07:23:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",15.4,-10,"°C","A",2015-09-16 07:23:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",40,1,"MPN/100 mL","A",2015-09-16 07:23:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT-OK::A","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",11.1,-10,"°C","A",2017-03-15 07:09:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",10.3,-10,"°C","A",2016-03-09 07:21:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
